"occupation_id","task_id","exposure_score","augmentation_score","automation_score","confidence","notes"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_12","0.70","0.58","0.40","0.68","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_13","0.78","0.56","0.46","0.68","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_14","0.74","0.62","0.34","0.70","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_15","0.64","0.78","0.16","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_16","0.52","0.72","0.16","0.72","reviewed_business_ops_task_scoring"
"occ_15_2051_00","task_occ_15_2051_00_jd_ds_01","0.62","0.84","0.10","0.76","reviewed_data_science_task_scoring"
"occ_15_2051_00","task_occ_15_2051_00_jd_ds_02","0.68","0.82","0.16","0.74","reviewed_data_science_task_scoring"
"occ_15_2051_00","task_occ_15_2051_00_jd_ds_03","0.56","0.80","0.14","0.76","reviewed_data_science_task_scoring"
"occ_15_2051_00","task_occ_15_2051_00_jd_ds_04","0.58","0.82","0.12","0.76","reviewed_data_science_task_scoring"
"occ_23_2011_00","task_occ_23_2011_00_23994","0.78","0.58","0.38","0.74","reviewed_paralegal_task_scoring"
"occ_23_2011_00","task_occ_23_2011_00_jd_para_02","0.72","0.60","0.34","0.70","reviewed_paralegal_task_scoring"
"occ_23_2011_00","task_occ_23_2011_00_jd_para_04","0.58","0.70","0.16","0.72","reviewed_paralegal_task_scoring"
"occ_23_2011_00","task_occ_23_2011_00_manual_para_01","0.70","0.58","0.32","0.70","reviewed_paralegal_task_scoring"
"occ_23_2011_00","task_occ_23_2011_00_manual_para_04","0.66","0.64","0.24","0.70","reviewed_paralegal_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr_01","0.48","0.78","0.08","0.76","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr_02","0.62","0.70","0.24","0.72","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr_03","0.52","0.76","0.10","0.74","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr_04","0.44","0.80","0.06","0.76","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr2_01","0.50","0.80","0.08","0.76","reviewed_services_sales_task_scoring_batch2"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr2_02","0.46","0.78","0.06","0.76","reviewed_services_sales_task_scoring_batch2"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr2_03","0.58","0.74","0.14","0.74","reviewed_services_sales_task_scoring_batch2"
"occ_41_3091_00","task_occ_41_3091_00_jd_sr2_04","0.66","0.76","0.20","0.74","reviewed_services_sales_task_scoring_batch2"
"occ_41_3091_00","task_occ_41_3091_00_manual_sr_01","0.46","0.76","0.08","0.74","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_manual_sr_02","0.50","0.76","0.10","0.74","reviewed_services_sales_task_scoring"
"occ_41_3091_00","task_occ_41_3091_00_manual_sr_03","0.42","0.80","0.08","0.76","reviewed_services_sales_task_scoring"
"occ_11_3031_00","task_occ_11_3031_00_jd_fm_01","0.70","0.80","0.16","0.76","reviewed_financial_manager_task_scoring"
"occ_11_3031_00","task_occ_11_3031_00_jd_fm_02","0.72","0.76","0.20","0.76","reviewed_financial_manager_task_scoring"
"occ_11_3031_00","task_occ_11_3031_00_jd_fm_03","0.56","0.74","0.12","0.74","reviewed_financial_manager_task_scoring"
"occ_11_3031_00","task_occ_11_3031_00_jd_fm_04","0.60","0.70","0.10","0.76","reviewed_financial_manager_task_scoring"
"occ_15_1232_00","task_occ_15_1232_00_jd_its_01","0.72","0.78","0.30","0.78","reviewed_it_support_task_scoring"
"occ_15_1232_00","task_occ_15_1232_00_jd_its_02","0.68","0.74","0.36","0.76","reviewed_it_support_task_scoring"
"occ_15_1232_00","task_occ_15_1232_00_jd_its_03","0.74","0.70","0.46","0.74","reviewed_it_support_task_scoring"
"occ_15_1232_00","task_occ_15_1232_00_jd_its_04","0.78","0.72","0.40","0.74","reviewed_it_support_task_scoring"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc_01","0.70","0.78","0.24","0.76","reviewed_procurement_task_scoring"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc_02","0.74","0.72","0.44","0.74","reviewed_procurement_task_scoring"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc_03","0.56","0.72","0.16","0.74","reviewed_procurement_task_scoring"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc_04","0.68","0.76","0.22","0.74","reviewed_procurement_task_scoring"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc2_01","0.54","0.78","0.12","0.76","reviewed_procurement_task_scoring_batch2"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc2_02","0.66","0.74","0.24","0.74","reviewed_procurement_task_scoring_batch2"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc2_03","0.72","0.72","0.38","0.74","reviewed_procurement_task_scoring_batch2"
"occ_13_1023_00","task_occ_13_1023_00_jd_proc2_04","0.60","0.76","0.16","0.76","reviewed_procurement_task_scoring_batch2"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm_01","0.64","0.70","0.20","0.76","reviewed_claims_adjuster_task_scoring"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm_02","0.58","0.68","0.14","0.76","reviewed_claims_adjuster_task_scoring"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm_03","0.52","0.70","0.12","0.74","reviewed_claims_adjuster_task_scoring"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm_04","0.74","0.66","0.42","0.74","reviewed_claims_adjuster_task_scoring"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm2_01","0.74","0.68","0.34","0.76","reviewed_claims_adjuster_task_scoring_batch2"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm2_02","0.60","0.68","0.16","0.74","reviewed_claims_adjuster_task_scoring_batch2"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm2_03","0.66","0.72","0.18","0.74","reviewed_claims_adjuster_task_scoring_batch2"
"occ_13_1031_00","task_occ_13_1031_00_jd_clm2_04","0.78","0.68","0.38","0.74","reviewed_claims_adjuster_task_scoring_batch2"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_01","0.48","0.70","0.08","0.76","reviewed_sales_manager_task_scoring"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_02","0.68","0.78","0.20","0.76","reviewed_sales_manager_task_scoring"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_03","0.60","0.76","0.14","0.74","reviewed_sales_manager_task_scoring"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_04","0.46","0.72","0.10","0.74","reviewed_sales_manager_task_scoring"
"occ_15_1212_00","task_occ_15_1212_00_jd_isa_01","0.64","0.72","0.22","0.76","reviewed_security_analyst_task_scoring"
"occ_15_1212_00","task_occ_15_1212_00_jd_isa_02","0.68","0.78","0.18","0.76","reviewed_security_analyst_task_scoring"
"occ_15_1212_00","task_occ_15_1212_00_jd_isa_03","0.58","0.74","0.12","0.74","reviewed_security_analyst_task_scoring"
"occ_15_1212_00","task_occ_15_1212_00_jd_isa_04","0.62","0.76","0.16","0.74","reviewed_security_analyst_task_scoring"
"occ_11_3021_00","task_occ_11_3021_00_jd_itm_01","0.50","0.74","0.10","0.76","reviewed_it_manager_task_scoring"
"occ_11_3021_00","task_occ_11_3021_00_jd_itm_02","0.58","0.72","0.18","0.74","reviewed_it_manager_task_scoring"
"occ_11_3021_00","task_occ_11_3021_00_jd_itm_03","0.62","0.70","0.28","0.74","reviewed_it_manager_task_scoring"
"occ_11_3021_00","task_occ_11_3021_00_jd_itm_04","0.56","0.76","0.20","0.76","reviewed_it_manager_task_scoring"
"occ_13_2072_00","task_occ_13_2072_00_jd_lo_01","0.58","0.76","0.16","0.76","reviewed_loan_officer_task_scoring"
"occ_13_2072_00","task_occ_13_2072_00_jd_lo_02","0.64","0.72","0.20","0.76","reviewed_loan_officer_task_scoring"
"occ_13_2072_00","task_occ_13_2072_00_jd_lo_03","0.54","0.74","0.14","0.74","reviewed_loan_officer_task_scoring"
"occ_13_2072_00","task_occ_13_2072_00_jd_lo_04","0.68","0.70","0.34","0.74","reviewed_loan_officer_task_scoring"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil_01","0.82","0.74","0.52","0.76","reviewed_billing_clerk_task_scoring"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil_02","0.76","0.72","0.44","0.74","reviewed_billing_clerk_task_scoring"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil_03","0.62","0.70","0.22","0.74","reviewed_billing_clerk_task_scoring"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil_04","0.78","0.74","0.40","0.74","reviewed_billing_clerk_task_scoring"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil2_01","0.76","0.74","0.26","0.76","reviewed_billing_clerk_task_scoring_batch2"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil2_02","0.78","0.72","0.28","0.76","reviewed_billing_clerk_task_scoring_batch2"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil2_03","0.66","0.74","0.18","0.74","reviewed_billing_clerk_task_scoring_batch2"
"occ_43_3021_00","task_occ_43_3021_00_jd_bil2_04","0.80","0.70","0.42","0.76","reviewed_billing_clerk_task_scoring_batch2"
"occ_13_2011_00","task_occ_13_2011_00_jd_acc2_01","0.68","0.76","0.16","0.76","reviewed_accountant_task_scoring_batch2"
"occ_13_2011_00","task_occ_13_2011_00_jd_acc2_02","0.60","0.78","0.12","0.76","reviewed_accountant_task_scoring_batch2"
"occ_13_2011_00","task_occ_13_2011_00_jd_acc2_03","0.70","0.74","0.26","0.76","reviewed_accountant_task_scoring_batch2"
"occ_13_2011_00","task_occ_13_2011_00_jd_acc2_04","0.54","0.80","0.08","0.74","reviewed_accountant_task_scoring_batch2"
"occ_13_2051_00","task_occ_13_2051_00_jd_fa2_01","0.56","0.82","0.10","0.76","reviewed_financial_analyst_task_scoring_batch2"
"occ_13_2051_00","task_occ_13_2051_00_jd_fa2_02","0.64","0.78","0.12","0.74","reviewed_financial_analyst_task_scoring_batch2"
"occ_13_2051_00","task_occ_13_2051_00_jd_fa2_03","0.72","0.76","0.22","0.76","reviewed_financial_analyst_task_scoring_batch2"
"occ_13_2051_00","task_occ_13_2051_00_jd_fa2_04","0.68","0.78","0.16","0.74","reviewed_financial_analyst_task_scoring_batch2"
"occ_15_1211_00","task_occ_15_1211_00_jd_sa2_01","0.70","0.76","0.18","0.76","reviewed_systems_analyst_task_scoring_batch2"
"occ_15_1211_00","task_occ_15_1211_00_jd_sa2_02","0.62","0.78","0.12","0.74","reviewed_systems_analyst_task_scoring_batch2"
"occ_15_1211_00","task_occ_15_1211_00_jd_sa2_03","0.74","0.74","0.28","0.76","reviewed_systems_analyst_task_scoring_batch2"
"occ_15_1211_00","task_occ_15_1211_00_jd_sa2_04","0.56","0.80","0.10","0.74","reviewed_systems_analyst_task_scoring_batch2"
"occ_17_2051_00","task_occ_17_2051_00_jd_ce_01","0.70","0.78","0.24","0.76","reviewed_civil_engineer_task_scoring"
"occ_17_2051_00","task_occ_17_2051_00_jd_ce_02","0.72","0.76","0.26","0.76","reviewed_civil_engineer_task_scoring"
"occ_17_2051_00","task_occ_17_2051_00_jd_ce_03","0.54","0.72","0.10","0.74","reviewed_civil_engineer_task_scoring"
"occ_17_2051_00","task_occ_17_2051_00_jd_ce_04","0.66","0.70","0.18","0.74","reviewed_civil_engineer_task_scoring"
"occ_13_1051_00","task_occ_13_1051_00_jd_est_01","0.74","0.78","0.32","0.76","reviewed_cost_estimator_task_scoring"
"occ_13_1051_00","task_occ_13_1051_00_jd_est_02","0.72","0.76","0.24","0.76","reviewed_cost_estimator_task_scoring"
"occ_13_1051_00","task_occ_13_1051_00_jd_est_03","0.70","0.74","0.28","0.74","reviewed_cost_estimator_task_scoring"
"occ_13_1051_00","task_occ_13_1051_00_jd_est_04","0.58","0.72","0.14","0.74","reviewed_cost_estimator_task_scoring"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl_01","0.64","0.72","0.28","0.76","reviewed_loan_clerk_task_scoring"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl_02","0.76","0.70","0.46","0.74","reviewed_loan_clerk_task_scoring"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl_03","0.60","0.72","0.20","0.74","reviewed_loan_clerk_task_scoring"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl_04","0.70","0.70","0.34","0.74","reviewed_loan_clerk_task_scoring"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl2_01","0.68","0.72","0.26","0.76","reviewed_loan_clerk_task_scoring_batch2"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl2_02","0.74","0.72","0.42","0.74","reviewed_loan_clerk_task_scoring_batch2"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl2_03","0.58","0.74","0.18","0.74","reviewed_loan_clerk_task_scoring_batch2"
"occ_43_4131_00","task_occ_43_4131_00_jd_lcl2_04","0.78","0.70","0.46","0.74","reviewed_loan_clerk_task_scoring_batch2"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec_01","0.72","0.68","0.30","0.76","reviewed_receptionist_task_scoring"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec_02","0.80","0.70","0.52","0.74","reviewed_receptionist_task_scoring"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec_03","0.58","0.72","0.16","0.74","reviewed_receptionist_task_scoring"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec_04","0.78","0.70","0.50","0.74","reviewed_receptionist_task_scoring"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec2_01","0.82","0.66","0.44","0.76","reviewed_receptionist_task_scoring_batch2"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec2_02","0.64","0.74","0.18","0.74","reviewed_receptionist_task_scoring_batch2"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec2_03","0.72","0.72","0.24","0.74","reviewed_receptionist_task_scoring_batch2"
"occ_43_4171_00","task_occ_43_4171_00_jd_rec2_04","0.68","0.72","0.20","0.74","reviewed_receptionist_task_scoring_batch2"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem_01","0.48","0.72","0.08","0.76","reviewed_arch_eng_manager_task_scoring"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem_02","0.60","0.74","0.14","0.76","reviewed_arch_eng_manager_task_scoring"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem_03","0.52","0.70","0.12","0.74","reviewed_arch_eng_manager_task_scoring"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem_04","0.58","0.68","0.14","0.76","reviewed_arch_eng_manager_task_scoring"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem2_01","0.54","0.72","0.10","0.76","reviewed_arch_eng_manager_task_scoring_batch2"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem2_02","0.64","0.70","0.22","0.74","reviewed_arch_eng_manager_task_scoring_batch2"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem2_03","0.46","0.76","0.08","0.76","reviewed_arch_eng_manager_task_scoring_batch2"
"occ_11_9041_00","task_occ_11_9041_00_jd_aem2_04","0.58","0.72","0.14","0.74","reviewed_arch_eng_manager_task_scoring_batch2"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins_01","0.56","0.76","0.12","0.76","reviewed_insurance_sales_task_scoring"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins_02","0.62","0.74","0.16","0.76","reviewed_insurance_sales_task_scoring"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins_03","0.72","0.72","0.42","0.74","reviewed_insurance_sales_task_scoring"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins_04","0.58","0.74","0.18","0.74","reviewed_insurance_sales_task_scoring"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins2_01","0.48","0.80","0.08","0.76","reviewed_insurance_sales_task_scoring_batch2"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins2_02","0.58","0.76","0.14","0.76","reviewed_insurance_sales_task_scoring_batch2"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins2_03","0.68","0.72","0.28","0.74","reviewed_insurance_sales_task_scoring_batch2"
"occ_41_3021_00","task_occ_41_3021_00_jd_ins2_04","0.72","0.72","0.38","0.74","reviewed_insurance_sales_task_scoring_batch2"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_01","0.52","0.80","0.10","0.76","reviewed_marketing_manager_task_scoring"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_02","0.62","0.78","0.18","0.76","reviewed_marketing_manager_task_scoring"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_03","0.70","0.82","0.24","0.76","reviewed_marketing_manager_task_scoring"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_04","0.68","0.80","0.28","0.74","reviewed_marketing_manager_task_scoring"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa_01","0.78","0.74","0.46","0.76","reviewed_systems_admin_task_scoring"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa_02","0.72","0.76","0.34","0.76","reviewed_systems_admin_task_scoring"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa_03","0.66","0.70","0.26","0.74","reviewed_systems_admin_task_scoring"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa_04","0.80","0.72","0.48","0.74","reviewed_systems_admin_task_scoring"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa2_01","0.64","0.76","0.20","0.76","reviewed_systems_admin_task_scoring_batch2"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa2_02","0.68","0.74","0.24","0.76","reviewed_systems_admin_task_scoring_batch2"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa2_03","0.58","0.78","0.12","0.74","reviewed_systems_admin_task_scoring_batch2"
"occ_15_1244_00","task_occ_15_1244_00_jd_nsa2_04","0.54","0.80","0.10","0.74","reviewed_systems_admin_task_scoring_batch2"
"occ_27_1024_00","task_occ_27_1024_00_jd_gd2_01","0.58","0.82","0.12","0.76","reviewed_graphic_designer_task_scoring_batch2"
"occ_27_1024_00","task_occ_27_1024_00_jd_gd2_02","0.62","0.78","0.16","0.76","reviewed_graphic_designer_task_scoring_batch2"
"occ_27_1024_00","task_occ_27_1024_00_jd_gd2_03","0.70","0.74","0.26","0.74","reviewed_graphic_designer_task_scoring_batch2"
"occ_27_1024_00","task_occ_27_1024_00_jd_gd2_04","0.68","0.76","0.24","0.74","reviewed_graphic_designer_task_scoring_batch2"
"occ_27_3031_00","task_occ_27_3031_00_jd_pr2_01","0.62","0.78","0.14","0.76","reviewed_pr_specialist_task_scoring_batch2"
"occ_27_3031_00","task_occ_27_3031_00_jd_pr2_02","0.58","0.80","0.10","0.76","reviewed_pr_specialist_task_scoring_batch2"
"occ_27_3031_00","task_occ_27_3031_00_jd_pr2_03","0.70","0.74","0.24","0.74","reviewed_pr_specialist_task_scoring_batch2"
"occ_27_3031_00","task_occ_27_3031_00_jd_pr2_04","0.66","0.76","0.20","0.74","reviewed_pr_specialist_task_scoring_batch2"
"occ_27_3042_00","task_occ_27_3042_00_jd_tw2_01","0.60","0.80","0.12","0.76","reviewed_technical_writer_task_scoring_batch2"
"occ_27_3042_00","task_occ_27_3042_00_jd_tw2_02","0.56","0.82","0.08","0.76","reviewed_technical_writer_task_scoring_batch2"
"occ_27_3042_00","task_occ_27_3042_00_jd_tw2_03","0.64","0.78","0.16","0.74","reviewed_technical_writer_task_scoring_batch2"
"occ_27_3042_00","task_occ_27_3042_00_jd_tw2_04","0.72","0.72","0.28","0.74","reviewed_technical_writer_task_scoring_batch2"
"occ_15_1253_00","task_occ_15_1253_00_jd_qa_01","0.72","0.80","0.34","0.76","reviewed_software_qa_task_scoring"
"occ_15_1253_00","task_occ_15_1253_00_jd_qa_02","0.76","0.78","0.36","0.76","reviewed_software_qa_task_scoring"
"occ_15_1253_00","task_occ_15_1253_00_jd_qa_03","0.62","0.76","0.18","0.74","reviewed_software_qa_task_scoring"
"occ_15_1253_00","task_occ_15_1253_00_jd_qa_04","0.70","0.78","0.26","0.74","reviewed_software_qa_task_scoring"
"occ_11_9141_00","task_occ_11_9141_00_jd_prop_01","0.48","0.72","0.10","0.76","reviewed_property_manager_task_scoring"
"occ_11_9141_00","task_occ_11_9141_00_jd_prop_02","0.54","0.70","0.12","0.76","reviewed_property_manager_task_scoring"
"occ_11_9141_00","task_occ_11_9141_00_jd_prop_03","0.72","0.72","0.40","0.74","reviewed_property_manager_task_scoring"
"occ_11_9141_00","task_occ_11_9141_00_jd_prop_04","0.56","0.72","0.14","0.74","reviewed_property_manager_task_scoring"
"occ_43_9041_00","task_occ_43_9041_00_jd_cpc_01","0.84","0.72","0.58","0.76","reviewed_claims_processing_task_scoring"
"occ_43_9041_00","task_occ_43_9041_00_jd_cpc_02","0.78","0.70","0.46","0.74","reviewed_claims_processing_task_scoring"
"occ_43_9041_00","task_occ_43_9041_00_jd_cpc_03","0.70","0.72","0.34","0.74","reviewed_claims_processing_task_scoring"
"occ_43_9041_00","task_occ_43_9041_00_jd_cpc_04","0.80","0.70","0.50","0.74","reviewed_claims_processing_task_scoring"
"occ_11_3121_00","task_occ_11_3121_00_jd_hrm_01","0.52","0.74","0.10","0.76","reviewed_hr_manager_task_scoring"
"occ_11_3121_00","task_occ_11_3121_00_jd_hrm_02","0.48","0.70","0.08","0.76","reviewed_hr_manager_task_scoring"
"occ_11_3121_00","task_occ_11_3121_00_jd_hrm_03","0.62","0.74","0.20","0.76","reviewed_hr_manager_task_scoring"
"occ_11_3121_00","task_occ_11_3121_00_jd_hrm_04","0.46","0.72","0.10","0.74","reviewed_hr_manager_task_scoring"
"occ_13_2052_00","task_occ_13_2052_00_jd_pfa_01","0.46","0.78","0.06","0.76","reviewed_financial_advisor_task_scoring"
"occ_13_2052_00","task_occ_13_2052_00_jd_pfa_02","0.58","0.80","0.12","0.76","reviewed_financial_advisor_task_scoring"
"occ_13_2052_00","task_occ_13_2052_00_jd_pfa_03","0.64","0.78","0.18","0.74","reviewed_financial_advisor_task_scoring"
"occ_13_2052_00","task_occ_13_2052_00_jd_pfa_04","0.70","0.74","0.34","0.74","reviewed_financial_advisor_task_scoring"
"occ_17_2071_00","task_occ_17_2071_00_jd_elec_01","0.72","0.76","0.26","0.76","reviewed_electrical_engineer_task_scoring"
"occ_17_2071_00","task_occ_17_2071_00_jd_elec_02","0.74","0.72","0.20","0.76","reviewed_electrical_engineer_task_scoring"
"occ_17_2071_00","task_occ_17_2071_00_jd_elec_03","0.64","0.74","0.18","0.74","reviewed_electrical_engineer_task_scoring"
"occ_17_2071_00","task_occ_17_2071_00_jd_elec_04","0.56","0.72","0.10","0.74","reviewed_electrical_engineer_task_scoring"
"occ_17_2112_00","task_occ_17_2112_00_jd_ind_01","0.76","0.78","0.34","0.76","reviewed_industrial_engineer_task_scoring"
"occ_17_2112_00","task_occ_17_2112_00_jd_ind_02","0.72","0.76","0.28","0.76","reviewed_industrial_engineer_task_scoring"
"occ_17_2112_00","task_occ_17_2112_00_jd_ind_03","0.58","0.74","0.12","0.74","reviewed_industrial_engineer_task_scoring"
"occ_17_2112_00","task_occ_17_2112_00_jd_ind_04","0.74","0.72","0.30","0.74","reviewed_industrial_engineer_task_scoring"
"occ_43_1011_00","task_occ_43_1011_00_jd_oas_01","0.62","0.72","0.22","0.76","reviewed_office_supervisor_task_scoring"
"occ_43_1011_00","task_occ_43_1011_00_jd_oas_02","0.82","0.70","0.50","0.74","reviewed_office_supervisor_task_scoring"
"occ_43_1011_00","task_occ_43_1011_00_jd_oas_03","0.60","0.70","0.18","0.74","reviewed_office_supervisor_task_scoring"
"occ_43_1011_00","task_occ_43_1011_00_jd_oas_04","0.64","0.68","0.20","0.74","reviewed_office_supervisor_task_scoring"
"occ_11_3071_00","task_occ_11_3071_00_jd_tsdm_01","0.52","0.72","0.12","0.76","reviewed_transport_manager_task_scoring"
"occ_11_3071_00","task_occ_11_3071_00_jd_tsdm_02","0.64","0.74","0.22","0.76","reviewed_transport_manager_task_scoring"
"occ_11_3071_00","task_occ_11_3071_00_jd_tsdm_03","0.60","0.72","0.18","0.74","reviewed_transport_manager_task_scoring"
"occ_11_3071_00","task_occ_11_3071_00_jd_tsdm_04","0.76","0.72","0.42","0.74","reviewed_transport_manager_task_scoring"
"occ_15_1241_00","task_occ_15_1241_00_jd_neta_01","0.70","0.78","0.20","0.76","reviewed_network_architect_task_scoring"
"occ_15_1241_00","task_occ_15_1241_00_jd_neta_02","0.66","0.76","0.16","0.76","reviewed_network_architect_task_scoring"
"occ_15_1241_00","task_occ_15_1241_00_jd_neta_03","0.54","0.72","0.10","0.74","reviewed_network_architect_task_scoring"
"occ_15_1241_00","task_occ_15_1241_00_jd_neta_04","0.74","0.72","0.32","0.74","reviewed_network_architect_task_scoring"
"occ_41_3031_00","task_occ_41_3031_00_jd_fss_01","0.44","0.78","0.08","0.76","reviewed_financial_services_sales_task_scoring"
"occ_41_3031_00","task_occ_41_3031_00_jd_fss_02","0.56","0.80","0.12","0.76","reviewed_financial_services_sales_task_scoring"
"occ_41_3031_00","task_occ_41_3031_00_jd_fss_03","0.48","0.76","0.10","0.74","reviewed_financial_services_sales_task_scoring"
"occ_41_3031_00","task_occ_41_3031_00_jd_fss_04","0.72","0.72","0.36","0.74","reviewed_financial_services_sales_task_scoring"
